Designator,Mid X,Mid Y,Rotation,Layer
RSW14,130.368,-13.57875,0.0,bottom
RSW15,130.368,-32.62875,0.0,bottom
RSW16,149.418,-37.39125,0.0,bottom
RSW17,149.418,-18.34125,0.0,bottom
RSW18,149.418,0.70875,0.0,bottom
RSW19,168.468,0.70875,0.0,bottom
RSW2,73.218,-35.01,0.0,bottom
RSW20,168.468,-18.34125,0.0,bottom
RSW21,168.468,-37.39125,0.0,bottom
RSW3,73.218,-15.96,0.0,bottom
RSW4,73.218,3.09,0.0,bottom
RSW5,92.268,5.47125,0.0,bottom
RSW6,92.268,-13.57875,0.0,bottom
RSW7,92.268,-32.62875,0.0,bottom
RSW8,80.978474,-56.236677,348.06,bottom
RSW9,101.793,-54.06,0.0,bottom
RU1,114.488,-44.07495,90.0,bottom
RU2,91.263,-44.58125,0.0,bottom
RU3,62.533,5.07505,270.0,bottom
RU4,103.018,-20.22125,270.0,bottom
RY1,114.183002,-52.7,0.0,bottom
RZD1,60.823008,8.26625,90.0,bottom
